Sample_Code,Layer_Count,Mxene_Rate,Layer1_B4C_Rate,Layer2_B4C_Rate,Layer3_B4C_Rate,Layer4_B4C_Rate,Layer5_B4C_Rate,Layer6_B4C_Rate,Layer7_B4C_Rate,MA_Time_h,Pressure_MPa,Sinter_Time_min,Sinter_Temp_C,Max_Compressive_Load_N,Max_Deformation_mm,Max_Compressive_Strength_MPa,Max_Strain_Percent,Toughness_MJ_m3,Sintered_Density_g_cm3,Hardness_HB,Green_Density_g_cm3,Sample_Code_Normalized,Process_Type,Layer_Count_from_code,Mxene_Rate_from_code,B4C_Outer_wt,Is_FGM,B4C_Center_wt,B4C_Mean_wt,B4C_Gradient_wt,Phase
1K SAF,1,0%,,,,,,,,3,500,180,590,21327.0678,2.943039624,138.5414304,11.7721585,12.39291523,2.265332,81.4,2.390362714,1K SAF,Single_Layer,1.0,0.0,0.0,False,,,,2
1K 5B,1,0%,,,,,,,,3,500,180,590,31540.67079,3.591476472,204.8893776,14.36590589,21.11424116,2.5026755,99.2,2.407777079,1K 5B,Single_Layer,1.0,0.0,5.0,False,,,,2
1K 10B,1,0%,,,,,,,,3,500,180,590,31302.31011,3.380028518,203.3409777,13.52011407,19.98255463,2.498554,103.4,2.37404468,1K 10B,Single_Layer,1.0,0.0,10.0,False,,,,2
1K 15B,1,0%,,,,,,,,3,500,180,590,33487.36915,2.579375625,217.535203,10.3175025,17.30912075,2.432014,98.8,2.358154853,1K 15B,Single_Layer,1.0,0.0,15.0,False,,,,2
3K-0X,3,0%,,,,,,,,3,500,180,590,47017.52376,3.684968154,305.4275936,14.73987261,33.18963161,2.467797,104.2,2.321709867,3K-0X,FGM,3.0,0.0,5.0,True,,,,2
5K-0X,5,0%,,,,,,,,3,500,180,590,33804.09236,3.430547984,219.5926488,13.72219194,24.38537375,2.503766,101.4,2.363167213,5K-0X,FGM,5.0,0.0,10.0,True,,,,2
7K-0X,7,0%,,,,,,,,3,500,180,590,19365.38409,2.488941876,125.7982596,9.955767504,9.116885047,2.532147,113.2,2.36740071,7K-0X,FGM,7.0,0.0,15.0,True,,,,2
3K-1x,3,1%,,,,,,,,3,500,180,590,58854.59976,8.101223564,382.3216822,32.40489426,88.7060351,2.496903,108.2,2.432046696,3K-1x,FGM,3.0,1.0,5.0,True,,,,2
5K-1x,5,1%,,,,,,,,3,500,180,590,54716.16987,7.499300575,355.4382868,29.9972023,73.92527942,2.600825,111.4,2.413270864,5K-1x,FGM,5.0,1.0,10.0,True,,,,2
7K-1x,7,1%,,,,,,,,3,500,180,590,46829.3197,4.72480545,304.205013,18.8992218,44.38813004,2.551953,133.8,2.367911649,7K-1x,FGM,7.0,1.0,15.0,True,,,,2
