Pressure_MPa,Sinter_Temp_C,Sinter_Time_min,MA_Time_h,Layer_Count_from_code,Mxene_Rate_from_code,Is_FGM,Pressure_x_Temp,Temp_x_Time,Sinter_Energy,B4C_Outer_wt,B4C_Center_wt,B4C_Mean_wt,B4C_Gradient_wt,Sinter_Temp_C_sq,Pressure_MPa_sq,B4C_Mean_wt_sq,Green_Density_g_cm3_sq,Sinter_Time_Temp_Sq,Pressure_Temp_Ratio,Layer_Complexity,Max_Compressive_Strength_MPa,Hardness_HB,Sintered_Density_g_cm3,Toughness_MJ_m3,Sample_Code,Phase,sample_weight
500,590,180,3,1.0,0.0,0,295000,106200,106200,0.0,0.0,,0.0,348100,250000,,5.713833904481446,62658000,0.8474576256822752,0.0,138.5414304,81.4,2.265332,12.39291523,1K SAF,2,1.0
500,590,180,3,1.0,0.0,0,295000,106200,106200,5.0,0.0,,0.0,348100,250000,,5.7973904621577725,62658000,0.8474576256822752,0.0,204.8893776,99.2,2.5026755,21.11424116,1K 5B,2,1.0
500,590,180,3,1.0,0.0,0,295000,106200,106200,10.0,0.0,,0.0,348100,250000,,5.636088142636302,62658000,0.8474576256822752,0.0,203.3409777,103.4,2.498554,19.98255463,1K 10B,2,1.0
500,590,180,3,1.0,0.0,0,295000,106200,106200,15.0,0.0,,0.0,348100,250000,,5.560894310727451,62658000,0.8474576256822752,0.0,217.535203,98.8,2.432014,17.30912075,1K 15B,2,1.0
500,590,180,3,3.0,0.0,1,295000,106200,106200,5.0,,,,348100,250000,,5.390336706525158,62658000,0.8474576256822752,,305.4275936,104.2,2.467797,33.18963161,3K-0X,2,1.0
500,590,180,3,5.0,0.0,1,295000,106200,106200,10.0,,,,348100,250000,,5.5845592765981875,62658000,0.8474576256822752,,219.5926488,101.4,2.503766,24.38537375,5K-0X,2,1.0
500,590,180,3,7.0,0.0,1,295000,106200,106200,15.0,,,,348100,250000,,5.604586121708505,62658000,0.8474576256822752,,125.7982596,113.2,2.532147,9.116885047,7K-0X,2,1.0
500,590,180,3,3.0,1.0,1,295000,106200,106200,5.0,,,,348100,250000,,5.914851131524516,62658000,0.8474576256822752,,382.3216822,108.2,2.496903,88.7060351,3K-1x,2,1.0
500,590,180,3,5.0,1.0,1,295000,106200,106200,10.0,,,,348100,250000,,5.8238762630313055,62658000,0.8474576256822752,,355.4382868,111.4,2.600825,73.92527942,5K-1x,2,1.0
500,590,180,3,7.0,1.0,1,295000,106200,106200,15.0,,,,348100,250000,,5.607005577469899,62658000,0.8474576256822752,,304.205013,133.8,2.551953,44.38813004,7K-1x,2,1.0
500,590,180,3,3.0,3.0,1,295000,106200,106200,5.0,,,,348100,250000,,5.917812343802269,62658000,0.8474576256822752,,421.4339429,105.4,2.641093,96.91039223,3K-3x,2,1.0
500,590,180,3,5.0,3.0,1,295000,106200,106200,10.0,,,,348100,250000,,5.885751635643148,62658000,0.8474576256822752,,371.6021743,122.6,2.640667,71.10952946,5K-3x,2,1.0
500,590,180,3,7.0,3.0,1,295000,106200,106200,15.0,,,,348100,250000,,5.8371871073922,62658000,0.8474576256822752,,316.569085,132.6,2.678361,45.64105655,7K-3x,2,1.0
500,590,180,3,3.0,5.0,1,295000,106200,106200,5.0,,,,348100,250000,,5.9954205449406155,62658000,0.8474576256822752,,413.4219775,107.2,2.580302,99.75771996,3K-5x,2,1.0
500,590,180,3,5.0,5.0,1,295000,106200,106200,10.0,,,,348100,250000,,5.874515786346681,62658000,0.8474576256822752,,336.8564933,113.4,2.562734,75.22545993,5K-5x,2,1.0
500,590,180,3,7.0,5.0,1,295000,106200,106200,15.0,,,,348100,250000,,5.8567143089770735,62658000,0.8474576256822752,,224.9863227,124.8,2.576552,42.22613938,7K-5x,2,1.0
300,550,60,1,3.0,0.0,0,165000,33000,33000,,0.0,,0.0,302500,90000,,,18150000,0.5454545444628099,0.0,103.8687421,100.0,2.5187,8.333300589,13a-1a,1,1.0
300,550,60,1,5.0,0.0,0,165000,33000,33000,,0.0,,0.0,302500,90000,,,18150000,0.5454545444628099,0.0,78.20765994,87.0,2.57501,4.792851687,15a-1a,1,1.0
300,550,60,1,7.0,0.0,0,165000,33000,33000,,0.0,,0.0,302500,90000,,,18150000,0.5454545444628099,0.0,71.64093035,93.33333333,2.5348,3.077323097,17a-1a,1,1.0
300,570,120,2,3.0,0.0,0,171000,68400,68400,,0.0,,0.0,324900,90000,,,38988000,0.5263157885503231,0.0,151.9546834,116.6666667,2.44764,9.333680702,23a-2b,1,1.0
300,570,120,2,5.0,0.0,0,171000,68400,68400,,0.0,,0.0,324900,90000,,,38988000,0.5263157885503231,0.0,177.2895951,105.6666667,2.53337,9.4178324,25a-2b,1,1.0
300,570,120,2,7.0,0.0,0,171000,68400,68400,,0.0,,0.0,324900,90000,,,38988000,0.5263157885503231,0.0,142.7110623,89.0,2.42507,5.930789769,27a-2b,1,1.0
300,590,180,3,3.0,0.0,0,177000,106200,106200,,0.0,,0.0,348100,90000,,,62658000,0.5084745754093651,0.0,265.3683721,134.0,2.4892,104.4037338,33a-3c,1,1.0
300,590,180,3,5.0,0.0,0,177000,106200,106200,,0.0,,0.0,348100,90000,,,62658000,0.5084745754093651,0.0,199.4717375,114.6666667,2.4693,32.84842231,35a-3c,1,1.0
300,590,180,3,7.0,0.0,0,177000,106200,106200,,0.0,,0.0,348100,90000,,,62658000,0.5084745754093651,0.0,221.0486808,146.6666667,2.46901,82.25775592,37a-3c,1,1.0
400,550,120,3,3.0,0.0,0,220000,66000,66000,,0.0,,0.0,302500,160000,,,36300000,0.7272727259504133,0.0,331.9358222,156.5,2.62423,106.9914403,33b-2a,1,1.0
400,550,120,3,5.0,0.0,0,220000,66000,66000,,0.0,,0.0,302500,160000,,,36300000,0.7272727259504133,0.0,309.6613072,159.5,2.57967,97.35360431,35b-2a,1,1.0
400,550,120,3,7.0,0.0,0,220000,66000,66000,,0.0,,0.0,302500,160000,,,36300000,0.7272727259504133,0.0,262.8997965,170.0,2.51576,92.32423058,37b-2a,1,1.0
400,570,180,1,3.0,0.0,0,228000,102600,102600,,0.0,,0.0,324900,160000,,,58482000,0.7017543847337643,0.0,191.7704187,119.6666667,2.5574,46.84973028,13b-3b,1,1.0
400,570,180,1,5.0,0.0,0,228000,102600,102600,,0.0,,0.0,324900,160000,,,58482000,0.7017543847337643,0.0,186.727517,93.66666667,2.5702,41.29441443,15b-3b,1,1.0
