Pressure_MPa,Sinter_Temp_C,Sinter_Time_min,MA_Time_h,Layer_Count_from_code,Mxene_Rate_from_code,Is_FGM,Layer1_B4C_Rate,Layer2_B4C_Rate,Layer3_B4C_Rate,Layer4_B4C_Rate,Layer5_B4C_Rate,Layer6_B4C_Rate,Layer7_B4C_Rate,Green_Density_g_cm3,Temp_dev,Temp_dev_sq,Time_dev,Time_dev_sq,Press_dev,Press_dev_sq,High_MXene_flag,High_MXene_flag_x_Pressure,High_MXene_flag_x_LayerComplexity,High_MXene_flag_x_Gradient,Density_hat_g_cm3,Max_Compressive_Strength_MPa,Hardness_HB,Sintered_Density_g_cm3,Toughness_MJ_m3,Sample_Code,Phase,sample_weight
500,590,180,3,1.0,0.0,0,,,,,,,,2.390362714,40.0,1600.0,60.0,3600.0,100.0,10000.0,0,0,0.0,0.0,2.500253023316467,138.5414304,81.4,2.265332,12.39291523,1K SAF,2,1.0
500,590,180,3,1.0,0.0,0,,,,,,,,2.407777079,40.0,1600.0,60.0,3600.0,100.0,10000.0,0,0,0.0,0.0,2.4614987724295596,204.8893776,99.2,2.5026755,21.11424116,1K 5B,2,1.0
500,590,180,3,1.0,0.0,0,,,,,,,,2.37404468,40.0,1600.0,60.0,3600.0,100.0,10000.0,0,0,0.0,0.0,2.4257037555396774,203.3409777,103.4,2.498554,19.98255463,1K 10B,2,1.0
500,590,180,3,1.0,0.0,0,,,,,,,,2.358154853,40.0,1600.0,60.0,3600.0,100.0,10000.0,0,0,0.0,0.0,2.4672557847220857,217.535203,98.8,2.432014,17.30912075,1K 15B,2,1.0
500,590,180,3,3.0,0.0,1,,,,,,,,2.321709867,40.0,1600.0,60.0,3600.0,100.0,10000.0,0,0,,,2.493938210199902,305.4275936,104.2,2.467797,33.18963161,3K-0X,2,1.0
500,590,180,3,5.0,0.0,1,,,,,,,,2.363167213,40.0,1600.0,60.0,3600.0,100.0,10000.0,0,0,,,2.5120525897698407,219.5926488,101.4,2.503766,24.38537375,5K-0X,2,1.0
500,590,180,3,7.0,0.0,1,,,,,,,,2.36740071,40.0,1600.0,60.0,3600.0,100.0,10000.0,0,0,,,2.5179214294443057,125.7982596,113.2,2.532147,9.116885047,7K-0X,2,1.0
500,590,180,3,3.0,1.0,1,,,,,,,,2.432046696,40.0,1600.0,60.0,3600.0,100.0,10000.0,0,0,,,2.5750847530679546,382.3216822,108.2,2.496903,88.7060351,3K-1x,2,1.0
500,590,180,3,5.0,1.0,1,,,,,,,,2.413270864,40.0,1600.0,60.0,3600.0,100.0,10000.0,0,0,,,2.530642807916666,355.4382868,111.4,2.600825,73.92527942,5K-1x,2,1.0
500,590,180,3,7.0,1.0,1,,,,,,,,2.367911649,40.0,1600.0,60.0,3600.0,100.0,10000.0,0,0,,,2.5301996037410697,304.205013,133.8,2.551953,44.38813004,7K-1x,2,1.0
