Sample_Code,Ref_Index,Actual,Predicted,Abs_Error,Pct_Error
33b-2a,25,156.5,117.25653076171875,39.24346923828125,25.075699193789937
27a-2b,21,89.0,123.28147888183594,34.28147888183594,38.51851559756847
27b-1c,33,101.6666667,134.94876098632812,33.28209428632813,32.7364861725403
33c-1b,37,126.3333333,95.06822204589844,31.26511125410157,24.748109178641904
25b1c,32,106.3333333,134.82861328125,28.495279981249993,26.798068956284656
37a-3c,24,146.6666667,120.32449340820312,26.342173291796882,17.96057269487047
1K SAF,0,81.4,105.23796844482422,23.837968444824213,29.28497351944006
35a-3c,23,114.6666667,138.5040283203125,23.837361620312507,20.788396755857306
23b-1c,31,138.6666667,114.85762023925781,23.809046460742195,17.16998542429245
25c-3a,35,141.5,123.02253723144531,18.477462768554688,13.058277574950308
